_id,County,Jurisdiction,Planning Period,Record Type,Review Status,Date Received,Date Reviewed,Compliance Status
215,MARIN,MILL VALLEY,6,ADOPTED,IN,10/27/2023,12/22/2023,IN
216,MARIN,NOVATO,6,SUBSEQUENT DRAFT,IN REVIEW,2/2/2024,,OUT
217,MARIN,ROSS,6,SUBSEQUENT DRAFT,OUT,11/15/2023,1/11/2024,OUT
218,MARIN,SAN ANSELMO,6,ADOPTED,IN REVIEW,1/30/2024,,OUT
219,MARIN,SAN RAFAEL,6,ADOPTED,IN,5/18/2023,6/22/2023,IN
220,MARIN,SAUSALITO,6,ADOPTED,IN,2/27/2023,4/28/2023,IN
221,MARIN,TIBURON,6,ADOPTED,IN,9/22/2023,10/18/2023,IN
222,MARIPOSA,MARIPOSA COUNTY,6,ADOPTED,IN,9/9/2019,10/2/2019,IN
223,MENDOCINO,FORT BRAGG,6,ADOPTED,IN,9/24/2019,12/12/2019,IN
224,MENDOCINO,MENDOCINO COUNTY,6,ADOPTED,IN,10/1/2020,12/3/2020,IN
225,MENDOCINO,POINT ARENA,6,ADOPTED,IN,10/22/2019,11/21/2019,IN
226,MENDOCINO,UKIAH,6,ADOPTED,IN,10/28/2019,12/5/2019,IN
227,MENDOCINO,WILLITS,6,ADOPTED,IN,12/17/2019,1/9/2020,IN
228,MERCED,ATWATER,6,NEW CYCLE,DUE,1/31/2024,1/31/2024,OUT
229,MERCED,DOS PALOS,6,NEW CYCLE,DUE,1/31/2024,1/31/2024,OUT
230,MERCED,GUSTINE,6,NEW CYCLE,DUE,1/31/2024,1/31/2024,OUT
231,MERCED,LIVINGSTON,6,NEW CYCLE,DUE,1/31/2024,1/31/2024,OUT
232,MERCED,LOS BANOS,6,NEW CYCLE,DUE,1/31/2024,1/31/2024,OUT
233,MERCED,MERCED,6,NEW CYCLE,DUE,1/31/2024,1/31/2024,OUT
234,MERCED,MERCED COUNTY,6,NEW CYCLE,DUE,1/31/2024,1/31/2024,OUT
235,MODOC,ALTURAS,6,ADOPTED,IN,3/3/2020,3/10/2020,IN
236,MODOC,MODOC COUNTY,6,ADOPTED,IN,1/26/2021,3/18/2021,IN
237,MONO,MAMMOTH LAKES,6,ADOPTED,IN,8/26/2019,9/19/2019,IN
238,MONO,MONO COUNTY,6,ADOPTED,IN,2/24/2020,3/11/2020,IN
239,MONTEREY,CARMEL,6,SUBSEQUENT DRAFT,IN REVIEW,1/24/2024,,OUT
240,MONTEREY,DEL REY OAKS,6,ADOPTED,OUT,12/14/2023,2/12/2024,OUT
241,MONTEREY,GONZALES,6,INITIAL DRAFT,IN REVIEW,2/29/2024,,OUT
242,MONTEREY,GREENFIELD,6,INITIAL DRAFT,OUT,10/20/2023,1/18/2024,OUT
243,MONTEREY,KING CITY,6,INITIAL DRAFT,OUT,12/18/2023,3/15/2024,OUT
244,MONTEREY,MARINA,6,ADOPTED,OUT,12/13/2023,2/9/2024,OUT
245,MONTEREY,MONTEREY,6,INITIAL DRAFT,OUT,9/26/2023,12/22/2023,OUT
246,MONTEREY,MONTEREY COUNTY,6,NEW CYCLE,DUE,12/15/2023,12/15/2023,OUT
247,MONTEREY,PACIFIC GROVE,6,INITIAL DRAFT,OUT,11/2/2023,1/31/2024,OUT
248,MONTEREY,SALINAS,6,ADOPTED,IN,12/12/2023,2/8/2024,IN
249,MONTEREY,SAND CITY,6,SUBSEQUENT DRAFT,IN REVIEW,2/28/2024,,OUT
250,MONTEREY,SEASIDE,6,ADOPTED,OUT,12/11/2023,2/8/2024,OUT
251,MONTEREY,SOLEDAD,6,INITIAL DRAFT,OUT,12/8/2023,3/7/2024,OUT
252,NAPA,AMERICAN CANYON,6,ADOPTED,IN,5/1/2023,6/30/2023,IN
253,NAPA,CALISTOGA,6,ADOPTED,IN,8/10/2023,10/9/2023,IN
254,NAPA,NAPA,6,ADOPTED,IN,11/6/2023,12/11/2023,IN
255,NAPA,NAPA COUNTY,6,ADOPTED,OUT,1/3/2024,2/22/2024,OUT
256,NAPA,SAINT HELENA,6,ADOPTED,IN,8/31/2023,9/25/2023,IN
257,NAPA,YOUNTVILLE,6,SUBSEQUENT DRAFT,IN REVIEW,3/8/2024,,OUT
258,NEVADA,GRASS VALLEY,6,ADOPTED,IN,8/16/2019,10/2/2019,IN
259,NEVADA,NEVADA CITY,6,ADOPTED,IN,11/19/2019,12/5/2019,IN
260,NEVADA,NEVADA COUNTY,6,ADOPTED,IN,7/3/2019,7/22/2019,IN
261,NEVADA,TRUCKEE,6,ADOPTED,IN,8/30/2019,9/16/2019,IN
262,ORANGE,ALISO VIEJO,6,ADOPTED,OUT,11/22/2023,1/19/2024,OUT
263,ORANGE,ANAHEIM,6,SUBSEQUENT DRAFT,OUT,5/3/2023,6/28/2023,OUT
264,ORANGE,BREA,6,ADOPTED,IN,8/17/2022,9/8/2022,IN
265,ORANGE,BUENA PARK,6,ADOPTED,IN,2/14/2024,2/29/2024,IN
266,ORANGE,COSTA MESA,6,ADOPTED,OUT,3/10/2023,5/9/2023,OUT
267,ORANGE,CYPRESS,6,ADOPTED,IN,7/12/2022,9/9/2022,IN
268,ORANGE,DANA POINT,6,ADOPTED,IN,9/23/2022,10/20/2022,IN
269,ORANGE,FOUNTAIN VALLEY,6,ADOPTED,IN,10/7/2022,10/13/2022,IN
270,ORANGE,FULLERTON,6,DRAFT,OUT,11/30/2021,1/27/2022,OUT
271,ORANGE,GARDEN GROVE,6,ADOPTED,IN,10/13/2023,12/12/2023,IN
272,ORANGE,HUNTINGTON BEACH,6,SUBSEQUENT DRAFT,IN,8/1/2022,9/30/2022,OUT
273,ORANGE,IRVINE,6,ADOPTED,IN,5/12/2022,5/24/2022,IN
274,ORANGE,LA HABRA,6,ADOPTED,IN,2/22/2023,4/21/2023,IN
275,ORANGE,LA PALMA,6,ADOPTED,OUT,12/22/2023,2/20/2024,OUT
276,ORANGE,LAGUNA BEACH,6,ADOPTED,IN,1/27/2023,2/7/2023,IN
277,ORANGE,LAGUNA HILLS,6,SUBSEQUENT DRAFT,IN,3/9/2023,5/8/2023,OUT
278,ORANGE,LAGUNA NIGUEL,6,ADOPTED,IN,2/16/2024,2/22/2024,IN
279,ORANGE,LAGUNA WOODS,6,ADOPTED,OUT,8/17/2023,10/12/2023,OUT
280,ORANGE,LAKE FOREST,6,ADOPTED,IN,1/6/2023,2/24/2023,IN
